id,age,gender,signup_date,total_orders,average_order_value,total_spent,frequency_of_purchases,last_purchase_date,product_categories,website_visits,email_open_rate ,social_media_engagement,customer_support_interactions,returns_refunds,payment_method,device_type,loyalty_program_status
77,43,Male,29/11/2020,39,411,,333,15/06/2024,Sports & Outdoors,396,62.16,21,18,6,jcb,Desktop,Silver
78,23,Male,13/11/2022,72,439,,196,06/04/2024,Home & Kitchen,551,50.32,28,18,3,bankcard,Desktop,Gold
79,91,Male,28/01/2019,63,139,,21,03/06/2024,Home & Kitchen,876,64.3,22,1,6,jcb,Desktop,Platinum
80,23,Male,06/07/2019,60,422,,48,01/01/2024,Home & Kitchen,974,33.49,54,11,2,china-unionpay,Desktop,Platinum
81,72,Female,21/03/2021,88,85,,58,16/01/2024,Toys,297,61.57,96,20,0,jcb,Mobile,Gold
82,53,Female,21/12/2023,5,341,,16,17/04/2024,Home & Kitchen,435,29.89,48,1,2,jcb,Mobile,Platinum
83,20,Male,11/02/2021,73,120,,188,11/07/2024,Clothing,587,93.13,38,13,8,china-unionpay,Mobile,Platinum
84,77,Female,03/02/2024,93,492,,56,05/02/2024,Home & Kitchen,911,41.44,29,18,0,visa,Mobile,Silver
85,90,Male,25/10/2020,17,62,,207,23/04/2024,Books,466,91.26,91,15,10,americanexpress,Desktop,Bronze
86,24,Female,09/06/2020,83,203,,130,12/05/2024,Sports & Outdoors,867,67.99,31,0,8,jcb,Desktop,Gold
87,84,Female,21/05/2019,47,304,,312,17/02/2024,Clothing,223,19.59,65,9,4,jcb,Mobile,Platinum
88,84,Female,11/01/2020,30,273,,52,19/03/2024,Toys,467,16.33,68,10,7,jcb,Mobile,Platinum
89,29,Female,19/09/2022,66,158,,352,11/08/2024,Automotive,906,45.49,92,13,2,laser,Desktop,Platinum
90,43,Female,07/07/2022,58,461,,122,11/06/2024,Electronics,743,38.44,94,4,6,switch,Desktop,Platinum
91,42,Male,17/02/2022,99,290,,286,28/07/2024,Sports & Outdoors,65,31.51,77,4,3,mastercard,Desktop,Bronze
92,24,Female,31/05/2021,60,286,,316,13/09/2024,Sports & Outdoors,211,86.48,64,14,0,diners-club-enroute,Mobile,Bronze
93,67,Female,12/09/2018,6,247,,74,01/05/2024,Beauty,857,62.15,20,2,10,americanexpress,Mobile,Bronze
94,55,Female,08/03/2022,87,394,,323,17/11/2023,Electronics,771,68.66,55,2,6,visa-electron,Desktop,Gold
95,38,Female,01/10/2019,47,439,,234,26/06/2024,Toys,230,1.74,69,12,6,bankcard,Mobile,Gold
96,31,Female,02/05/2022,34,408,,346,26/11/2023,Sports & Outdoors,310,9.89,35,0,7,jcb,Desktop,Gold
97,67,Female,20/12/2021,57,386,,261,16/07/2024,Home & Kitchen,698,62.44,7,13,10,jcb,Desktop,Silver
98,45,Female,18/05/2023,28,358,,150,03/05/2024,Electronics,380,3.56,55,5,4,visa,Desktop,Silver
99,44,Male,25/01/2024,41,34,,8,25/02/2024,Health,503,82.39,56,19,0,jcb,Mobile,Platinum
100,19,Female,12/08/2022,62,50,,162,08/05/2024,Toys,64,67.4,21,4,10,jcb,Desktop,Platinum
101,61,Female,04/11/2020,65,493,,97,07/09/2024,Toys,858,76.52,34,19,9,jcb,Mobile,Gold
102,30,Male,31/12/2020,3,345,,237,24/06/2024,Automotive,436,73.51,84,18,4,mastercard,Mobile,Gold
103,90,Male,23/12/2019,71,83,,38,22/11/2023,Beauty,1026,32.04,93,16,0,instapayment,Mobile,Platinum
104,79,Male,27/08/2021,51,482,,126,12/03/2024,Automotive,497,35.77,65,11,2,switch,Desktop,Platinum
105,59,Female,25/05/2021,41,350,,258,24/12/2023,Clothing,1006,19.97,3,8,6,solo,Desktop,Platinum
106,40,Male,13/07/2020,19,281,,224,19/03/2024,Books,698,37.37,39,16,0,jcb,Desktop,Bronze
107,44,Female,17/06/2018,99,120,,192,15/12/2023,Sports & Outdoors,529,77.02,44,5,9,mastercard,Desktop,Bronze
108,60,Male,09/05/2024,81,10,,196,04/06/2024,Home & Kitchen,23,45.81,98,6,4,jcb,Mobile,Platinum
109,23,Male,27/08/2020,40,433,,118,24/02/2024,Books,242,79.97,57,12,7,visa,Mobile,Bronze
110,49,Male,20/12/2018,60,286,,287,26/08/2024,Pets,841,76.96,40,1,7,mastercard,Mobile,Silver
111,62,Male,17/07/2021,75,149,,214,02/12/2023,Electronics,391,78.93,54,16,1,china-unionpay,Desktop,Platinum
112,72,Female,19/12/2022,49,455,,139,04/11/2023,Clothing,36,77.48,65,15,2,americanexpress,Desktop,Bronze
113,88,Female,26/12/2022,95,33,,186,11/09/2024,Automotive,242,92.42,36,12,10,china-unionpay,Desktop,Platinum
114,72,Female,02/07/2019,6,488,,313,04/07/2024,Books,883,93.13,80,11,10,jcb,Desktop,Bronze
115,69,Female,05/01/2019,98,295,,31,28/07/2024,Toys,629,53.93,34,7,2,jcb,Desktop,Platinum
116,48,Female,22/03/2024,76,448,,328,24/04/2024,Automotive,684,94.49,21,15,10,mastercard,Mobile,Silver
117,84,Female,08/06/2019,40,477,,158,09/12/2023,Clothing,25,73.43,32,6,10,jcb,Desktop,Platinum
118,91,Male,07/04/2021,24,123,,76,06/04/2024,Health,748,5.89,62,13,10,jcb,Desktop,Silver
119,65,Male,07/03/2021,57,273,,230,16/09/2024,Pets,211,52.75,81,19,1,china-unionpay,Mobile,Platinum
120,41,Female,24/04/2018,70,145,,164,26/12/2023,Pets,560,16.37,82,1,10,jcb,Desktop,Silver
121,42,Male,09/05/2018,96,441,,191,01/08/2024,Automotive,477,69.88,83,3,1,jcb,Desktop,Platinum
122,45,Female,12/04/2022,64,99,,364,08/06/2024,Clothing,119,66.53,58,0,9,jcb,Mobile,Silver
123,40,Male,18/03/2022,32,317,,237,10/04/2024,Beauty,518,6.58,9,2,2,jcb,Mobile,Silver
124,67,Male,16/08/2019,41,120,,176,19/06/2024,Health,425,74.37,90,0,1,diners-club-enroute,Mobile,Silver
125,95,Male,13/05/2022,12,13,,361,10/08/2024,Pets,923,33.46,49,2,4,visa,Mobile,Platinum
126,35,Male,16/12/2023,51,267,,42,28/09/2023,Automotive,25,15.07,39,19,6,diners-club-international,Mobile,Gold
127,37,Male,11/08/2018,65,321,,289,24/07/2024,Books,987,24.17,95,6,7,switch,Mobile,Platinum
128,44,Male,10/03/2023,9,447,,333,30/05/2024,Automotive,690,49.96,75,2,9,jcb,Mobile,Gold
129,83,Male,09/11/2018,14,79,,97,21/10/2023,Beauty,183,74.13,18,7,9,jcb,Desktop,Platinum
130,75,Female,08/04/2020,75,102,,182,07/06/2024,Automotive,749,75.42,37,14,7,diners-club-carte-blanche,Desktop,Platinum
131,92,Male,21/10/2019,32,36,,64,05/02/2024,Beauty,7,90.28,80,11,5,jcb,Desktop,Gold
132,79,Male,29/05/2018,92,17,,12,07/09/2024,Toys,487,32.32,46,2,6,jcb,Desktop,Bronze
133,63,Female,19/06/2022,73,388,,296,02/04/2024,Electronics,697,34.9,10,2,1,laser,Desktop,Bronze
134,19,Male,18/05/2021,100,32,,283,30/07/2024,Clothing,976,69.6,8,12,8,jcb,Desktop,Gold
135,65,Male,30/04/2024,51,103,,54,02/09/2024,Beauty,973,30.55,27,2,10,jcb,Desktop,Gold
136,58,Male,26/08/2019,61,166,,91,18/10/2023,Books,1001,52.3,54,0,5,maestro,Desktop,Bronze
137,92,Female,28/02/2023,26,410,,198,22/03/2024,Pets,713,2.03,36,13,6,diners-club-enroute,Mobile,Bronze
138,21,Female,06/10/2020,31,35,,10,18/11/2023,Electronics,383,20.91,63,19,8,jcb,Mobile,Platinum
139,82,Female,08/04/2022,29,386,,305,23/09/2023,Beauty,13,70.03,92,17,0,jcb,Mobile,Platinum
140,83,Male,19/01/2021,14,162,,241,30/03/2024,Health,1015,14.8,66,20,8,bankcard,Mobile,Bronze
141,93,Male,25/02/2020,22,463,,200,03/07/2024,Automotive,780,18.92,44,13,9,china-unionpay,Desktop,Gold
142,55,Female,27/09/2020,53,13,,357,17/01/2024,Health,539,71.79,97,19,7,jcb,Mobile,Gold
143,93,Male,18/05/2021,56,404,,324,01/12/2023,Electronics,812,56.28,93,17,5,jcb,Mobile,Gold
144,64,Male,12/09/2022,19,140,,327,15/03/2024,Automotive,193,57.48,88,5,3,maestro,Desktop,Silver
145,93,Female,31/07/2024,78,172,,92,10/06/2024,Automotive,10,22.71,93,18,4,diners-club-carte-blanche,Mobile,Gold
146,73,Female,30/05/2021,29,135,,59,13/06/2024,Electronics,534,74.96,32,3,9,visa-electron,Mobile,Silver
147,85,Male,28/06/2018,17,365,,96,02/04/2024,Clothing,860,94.27,67,10,8,jcb,Desktop,Bronze
148,74,Female,27/07/2024,3,210,,361,29/06/2024,Clothing,181,26.55,98,20,10,jcb,Mobile,Gold
149,40,Female,16/07/2023,2,373,,247,08/09/2024,Sports & Outdoors,643,76.75,15,13,10,maestro,Mobile,Gold
150,80,Female,21/03/2020,47,13,,330,07/12/2023,Books,683,95.03,9,16,4,switch,Desktop,Gold
151,71,Female,14/07/2022,42,217,,201,08/05/2024,Automotive,791,31.53,91,19,0,jcb,Mobile,Gold
152,19,Male,14/05/2019,14,111,,55,14/11/2023,Automotive,368,89.66,54,13,10,maestro,Desktop,Bronze
153,54,Female,25/03/2021,64,16,,176,25/11/2023,Home & Kitchen,487,94.0,74,19,1,jcb,Mobile,Silver
154,54,Female,05/09/2020,15,362,,12,24/01/2024,Clothing,43,96.29,18,17,1,americanexpress,Mobile,Bronze
155,40,Female,15/04/2020,9,152,,333,23/09/2023,Clothing,14,64.2,48,11,4,jcb,Mobile,Platinum
156,82,Female,11/10/2022,40,380,,99,21/10/2023,Electronics,673,89.79,91,18,3,jcb,Mobile,Silver
157,80,Male,15/09/2021,96,167,,82,18/11/2023,Toys,72,74.1,99,12,7,mastercard,Desktop,Silver
158,18,Male,13/09/2024,17,320,,333,05/02/2024,Automotive,452,81.41,78,19,6,instapayment,Mobile,Platinum
159,47,Female,25/10/2021,47,195,,113,17/06/2024,Clothing,304,7.3,82,7,9,jcb,Mobile,Platinum
160,46,Female,23/09/2022,24,204,,36,07/07/2024,Electronics,660,92.18,2,15,2,jcb,Desktop,Silver
161,95,Male,27/02/2022,27,498,,308,04/03/2024,Automotive,1030,96.51,77,9,8,switch,Desktop,Bronze
162,34,Female,16/11/2022,32,205,,4,09/12/2023,Pets,427,20.85,7,10,5,jcb,Desktop,Bronze
163,35,Male,29/12/2021,23,217,,137,20/07/2024,Health,602,32.8,18,10,4,diners-club-us-ca,Desktop,Silver
164,92,Male,26/07/2023,39,312,,219,27/02/2024,Home & Kitchen,342,83.78,32,6,3,jcb,Desktop,Silver
165,56,Female,15/07/2018,94,118,,34,29/04/2024,Toys,228,8.9,22,10,1,jcb,Mobile,Silver
166,56,Female,12/11/2022,42,134,,134,02/08/2024,Toys,601,45.04,87,5,10,visa,Mobile,Bronze
167,56,Female,13/10/2023,80,194,,39,16/03/2024,Electronics,709,46.36,81,0,9,mastercard,Desktop,Silver
168,64,Female,13/03/2023,90,235,,361,25/07/2024,Toys,990,88.9,67,6,5,jcb,Mobile,Gold
169,90,Male,21/09/2020,61,451,,282,30/08/2024,Beauty,627,89.85,89,11,10,maestro,Desktop,Platinum
170,47,Female,08/06/2019,7,442,,38,27/06/2024,Sports & Outdoors,587,56.93,54,14,1,americanexpress,Mobile,Bronze
171,81,Male,08/07/2023,76,77,,281,04/02/2024,Pets,392,78.05,80,18,5,jcb,Mobile,Gold
172,21,Female,13/03/2022,37,191,,261,09/03/2024,Pets,207,78.0,29,4,4,visa-electron,Desktop,Platinum
173,54,Female,12/05/2023,65,402,,193,13/02/2024,Electronics,20,92.26,6,20,4,switch,Desktop,Gold
174,41,Female,14/10/2022,18,322,,102,23/01/2024,Home & Kitchen,674,13.18,8,4,3,mastercard,Mobile,Platinum
175,54,Male,26/02/2021,56,198,,38,20/07/2024,Books,965,97.01,57,0,8,bankcard,Desktop,Silver
176,55,Male,04/02/2018,27,450,,191,09/07/2024,Automotive,800,52.21,90,15,4,bankcard,Desktop,Bronze
177,41,Male,01/05/2018,37,167,,99,21/11/2023,Electronics,83,22.38,4,2,7,mastercard,Mobile,Gold
178,39,Female,23/04/2023,60,71,,352,22/02/2024,Automotive,200,14.46,65,2,7,jcb,Desktop,Silver
179,95,Male,25/04/2019,61,121,,340,30/01/2024,Health,895,44.43,42,2,10,jcb,Mobile,Silver
180,57,Male,29/04/2020,93,500,,261,27/02/2024,Sports & Outdoors,943,7.19,98,13,2,maestro,Mobile,Gold
181,70,Female,04/01/2021,58,220,,94,22/03/2024,Pets,670,72.77,90,13,9,solo,Desktop,Platinum
182,89,Female,25/04/2020,13,310,,99,23/09/2023,Books,201,82.67,71,0,5,visa-electron,Mobile,Platinum
183,84,Female,07/02/2020,57,319,,271,15/07/2024,Home & Kitchen,642,59.72,54,13,4,americanexpress,Desktop,Gold
184,58,Female,03/03/2023,29,484,,235,26/04/2024,Beauty,518,1.79,28,14,9,diners-club-carte-blanche,Desktop,Bronze
185,18,Male,18/04/2020,77,262,,119,24/01/2024,Beauty,747,9.03,64,3,9,mastercard,Desktop,Gold
186,89,Male,09/01/2020,11,395,,296,14/03/2024,Electronics,920,0.49,29,18,6,mastercard,Desktop,Silver
187,44,Male,06/03/2021,65,136,,202,26/11/2023,Electronics,945,84.4,1,16,2,mastercard,Mobile,Silver
188,74,Male,13/05/2023,42,359,,285,04/02/2024,Home & Kitchen,606,41.88,92,19,5,jcb,Mobile,Silver
189,53,Male,27/05/2018,22,237,,158,27/05/2024,Toys,271,23.76,58,5,7,jcb,Mobile,Silver
190,69,Female,19/04/2023,2,296,,146,25/06/2024,Toys,579,62.72,81,7,6,jcb,Mobile,Silver
191,44,Female,06/09/2018,34,225,,335,13/02/2024,Sports & Outdoors,97,40.92,43,10,3,jcb,Desktop,Gold
192,53,Male,13/02/2018,97,167,,297,27/01/2024,Toys,938,46.0,65,1,7,jcb,Mobile,Gold
193,45,Male,19/10/2021,90,285,,90,06/10/2023,Automotive,955,2.63,66,3,3,diners-club-carte-blanche,Desktop,Gold
194,38,Female,17/03/2022,50,15,,194,05/10/2023,Beauty,652,49.15,61,1,9,jcb,Desktop,Gold
195,81,Male,04/08/2021,92,395,,160,05/04/2024,Clothing,115,48.27,54,2,10,switch,Desktop,Silver
196,32,Female,18/11/2022,66,32,,313,04/04/2024,Health,389,83.72,57,1,8,diners-club-carte-blanche,Desktop,Platinum
197,45,Female,06/01/2020,79,356,,2,14/07/2024,Toys,672,88.35,24,19,10,jcb,Desktop,Silver
198,93,Male,22/04/2024,20,455,,66,27/04/2024,Home & Kitchen,14,18.27,94,9,5,diners-club-carte-blanche,Mobile,Gold
199,48,Male,22/08/2024,71,418,,43,11/05/2024,Pets,285,21.24,41,16,1,jcb,Mobile,Bronze
200,52,Male,23/11/2020,14,214,,304,06/06/2024,Toys,825,92.8,34,19,8,mastercard,Desktop,Platinum
201,20,Male,04/02/2022,53,153,,194,29/08/2024,Electronics,919,72.75,94,7,4,maestro,Desktop,Bronze
202,60,Female,26/01/2020,99,43,,335,02/02/2024,Toys,113,86.01,6,14,9,jcb,Mobile,Gold
203,74,Male,21/02/2024,10,83,,87,19/10/2023,Automotive,995,14.76,15,0,7,jcb,Mobile,Silver
204,29,Male,18/02/2020,43,86,,182,28/02/2024,Home & Kitchen,54,82.87,23,6,8,bankcard,Desktop,Platinum
205,44,Female,05/06/2021,25,290,,271,19/05/2024,Electronics,83,0.97,80,19,8,jcb,Mobile,Bronze
206,69,Male,12/05/2018,89,149,,319,22/12/2023,Home & Kitchen,982,74.98,90,18,6,jcb,Mobile,Bronze
207,43,Male,25/08/2023,50,227,,50,15/10/2023,Electronics,374,24.57,29,10,4,jcb,Desktop,Platinum
208,75,Female,30/10/2019,93,49,,93,07/02/2024,Automotive,663,77.76,85,2,9,maestro,Desktop,Gold
209,75,Female,30/08/2019,96,283,,212,29/11/2023,Beauty,231,59.49,1,0,4,visa-electron,Desktop,Bronze
210,24,Female,28/05/2024,60,196,,67,03/03/2024,Home & Kitchen,439,38.06,98,2,9,jcb,Desktop,Platinum
211,43,Female,22/04/2018,29,355,,333,20/08/2024,Health,282,67.8,67,12,10,jcb,Mobile,Platinum
212,58,Female,10/12/2021,70,114,,263,13/11/2023,Clothing,1014,57.2,86,16,1,china-unionpay,Mobile,Silver
213,93,Female,20/09/2020,66,498,,151,30/04/2024,Clothing,246,92.79,64,11,1,mastercard,Desktop,Bronze
214,48,Female,29/05/2020,20,61,,224,30/05/2024,Beauty,97,11.12,18,19,10,china-unionpay,Desktop,Silver
215,29,Female,21/09/2023,9,175,,8,17/02/2024,Health,258,91.1,20,13,3,americanexpress,Mobile,Bronze
216,39,Female,04/07/2021,21,399,,146,23/04/2024,Health,754,30.34,68,17,1,jcb,Mobile,Silver
217,59,Male,01/03/2019,94,123,,312,26/10/2023,Clothing,326,98.39,37,0,3,mastercard,Desktop,Bronze
218,63,Female,01/11/2020,26,306,,221,28/11/2023,Beauty,29,67.72,44,18,0,mastercard,Desktop,Platinum
219,24,Female,09/06/2024,4,138,,70,09/05/2024,Clothing,254,94.46,23,20,2,maestro,Desktop,Platinum
220,39,Male,17/12/2022,88,250,,288,25/04/2024,Home & Kitchen,464,94.32,51,7,6,jcb,Mobile,Gold
221,36,Male,19/03/2023,27,256,,273,07/02/2024,Clothing,335,15.97,63,18,0,jcb,Desktop,Silver
222,27,Male,16/05/2022,92,376,,104,17/10/2023,Automotive,967,87.19,3,5,7,diners-club-carte-blanche,Desktop,Bronze
223,58,Female,04/11/2019,82,172,,300,04/12/2023,Health,629,91.47,45,8,0,mastercard,Desktop,Gold
224,58,Male,02/01/2023,20,387,,95,21/05/2024,Beauty,385,45.12,43,12,1,mastercard,Mobile,Gold
225,47,Female,29/08/2019,5,53,,40,20/02/2024,Beauty,786,8.82,87,17,2,diners-club-carte-blanche,Mobile,Gold
226,81,Male,21/07/2023,26,492,,65,18/04/2024,Electronics,510,85.21,5,9,6,jcb,Desktop,Platinum
227,87,Male,20/12/2018,58,11,,150,15/06/2024,Beauty,896,9.21,78,17,6,jcb,Desktop,Gold
228,52,Female,19/11/2022,53,354,,22,29/08/2024,Automotive,807,93.2,37,19,4,diners-club-carte-blanche,Mobile,Gold
229,83,Male,07/01/2022,50,323,,239,25/09/2023,Electronics,470,46.06,8,4,10,americanexpress,Desktop,Bronze
230,21,Male,27/02/2022,46,326,,73,05/04/2024,Pets,386,37.95,82,11,7,diners-club-us-ca,Mobile,Silver
