age,total_orders,average_order_value,total_spent,frequency_of_purchases,website_visits,social_media_engagement,customer_support_interactions,returns_refunds,email_open_rate,account_age_days,days_since_last_purchase,gender_Male,product_categories_Beauty,product_categories_Books,product_categories_Clothing,product_categories_Electronics,product_categories_Health,product_categories_Home & Kitchen,product_categories_Pets,product_categories_Sports & Outdoors,product_categories_Toys,payment_method_bankcard,payment_method_china-unionpay,payment_method_diners-club-carte-blanche,payment_method_diners-club-enroute,payment_method_diners-club-international,payment_method_diners-club-us-ca,payment_method_instapayment,payment_method_jcb,payment_method_laser,payment_method_maestro,payment_method_mastercard,payment_method_solo,payment_method_switch,payment_method_visa,payment_method_visa-electron,device_type_Mobile,loyalty_program_status_Gold,loyalty_program_status_Platinum,loyalty_program_status_Silver
50,94,21,1974,20.340425531914892,822,33,13,5,82.57,1930,18,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
47,54,164,8856,15.851851851851851,572,84,11,10,58.65,1117,261,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
43,43,40,1720,14.906976744186046,495,42,4,1,60.14,770,129,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
24,71,168,11928,13.661971830985916,874,3,6,4,56.59,1076,106,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
73,64,351,22464,31.25,318,76,9,10,59.08,2168,168,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
19,63,473,29799,20.11111111111111,609,51,15,5,69.91,1430,163,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
65,72,175,12600,28.98611111111111,124,60,15,7,57.87,2169,82,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False
36,47,473,22231,31.51063829787234,906,0,11,3,59.42,1591,110,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
40,67,208,13936,30.253731343283583,932,18,10,0,2.01,2346,319,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
55,1,390,390,2188.0,40,20,7,10,38.85,2297,109,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
42,39,494,19266,0.8717948717948718,880,2,8,8,82.28,167,133,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
95,76,111,8436,19.223684210526315,441,79,18,6,1.28,1631,170,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
78,75,91,6825,14.84,263,27,2,0,53.36,1463,350,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
65,94,320,30080,6.319148936170213,586,25,18,8,71.62,825,231,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
36,77,334,25718,16.272727272727273,590,43,18,6,67.51,1374,121,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
20,73,252,18396,13.123287671232877,556,38,16,5,73.07,1294,336,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
35,57,214,12198,34.03508771929825,236,33,8,8,70.54,1955,15,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
38,91,74,6734,5.373626373626373,566,42,13,5,60.15,495,6,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True
82,90,302,27180,10.977777777777778,572,36,7,10,86.54,1038,50,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
95,23,394,9062,48.65217391304348,945,38,20,6,36.62,1390,271,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
74,54,62,3348,5.277777777777778,6,28,10,1,12.01,436,151,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
25,80,296,23680,27.6875,711,27,13,3,40.96,2284,69,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
45,93,383,35619,5.634408602150538,765,73,7,9,6.76,753,229,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
64,30,88,2640,48.96666666666667,759,57,2,8,85.68,1614,145,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
24,27,336,9072,40.2962962962963,849,23,12,6,73.77,1114,26,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
26,83,337,27971,16.771084337349397,290,77,5,4,39.45,1719,327,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
48,99,287,28413,13.828282828282829,630,18,3,10,98.74,1646,277,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
82,32,308,9856,28.9375,131,91,6,6,97.0,1106,180,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
56,79,67,5293,6.2405063291139244,148,88,12,7,59.06,575,82,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
41,54,185,9990,39.0,677,16,0,3,12.94,2371,265,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
79,20,388,7760,17.3,743,65,16,8,62.92,629,283,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
50,98,422,41356,3.663265306122449,372,23,1,1,13.05,467,108,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
82,36,445,16020,7.611111111111111,555,87,6,0,25.19,339,65,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
73,69,414,28566,11.53623188405797,955,65,0,10,28.32,1095,299,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
78,16,480,7680,85.6875,490,24,8,7,93.33,1596,225,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
44,68,159,10812,30.83823529411765,355,74,15,6,77.71,2135,38,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
62,58,159,9222,22.913793103448278,956,8,13,9,6.74,1657,328,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
53,96,254,24384,6.53125,3,75,8,3,48.02,741,114,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
44,64,217,13888,24.171875,479,98,13,9,65.7,1864,317,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
75,37,45,1665,43.62162162162162,815,42,14,9,1.9,1882,268,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
90,50,391,19550,21.56,365,89,2,7,51.56,1223,145,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
36,96,490,47040,0.21875,974,44,3,3,52.1,93,72,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
59,69,346,23874,13.652173913043478,617,25,6,1,88.2,1215,273,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
43,39,411,16029,33.17948717948718,396,21,18,6,62.16,1390,96,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
23,72,439,31608,7.083333333333333,551,28,18,3,50.32,676,166,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
91,63,139,8757,31.0,876,22,1,6,64.3,2061,108,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
23,60,422,25320,27.333333333333332,974,54,11,2,33.49,1902,262,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
72,88,85,7480,11.715909090909092,297,96,20,0,61.57,1278,247,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
53,5,341,1705,23.6,435,48,1,2,29.89,273,155,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
20,73,120,8760,17.068493150684933,587,38,13,8,93.13,1316,70,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
77,93,492,45756,0.021505376344086023,911,29,18,0,41.44,229,227,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
90,17,62,1054,75.05882352941177,466,91,15,10,91.26,1425,149,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,83,203,16849,17.265060240963855,867,31,0,8,67.99,1563,130,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
84,47,304,14288,36.87234042553192,223,65,9,4,19.59,1948,215,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
84,30,273,8190,50.96666666666667,467,68,10,7,16.33,1713,184,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
29,66,158,10428,10.484848484848484,906,92,13,2,45.49,731,39,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
43,58,461,26738,12.155172413793103,743,94,4,6,38.44,805,100,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
42,99,290,28710,9.01010101010101,65,77,4,3,31.51,945,53,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
24,60,286,17160,20.016666666666666,211,64,14,0,86.48,1207,6,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
67,6,247,1482,343.0,857,20,2,10,62.15,2199,141,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
55,87,394,34278,7.114942528735632,771,55,2,6,68.66,926,307,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
38,47,439,20633,36.808510638297875,230,69,12,6,1.74,1815,85,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
31,34,408,13872,16.852941176470587,310,35,0,7,9.89,871,298,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
67,57,386,22002,16.473684210526315,698,7,13,10,62.44,1004,65,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
45,28,358,10024,12.535714285714286,380,55,5,4,3.56,490,139,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
44,41,34,1394,0.7560975609756098,503,56,19,0,82.39,238,207,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
19,62,50,3100,10.241935483870968,64,21,4,10,67.4,769,134,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
61,65,493,32045,21.584615384615386,858,34,19,9,76.52,1415,12,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
30,3,345,1035,423.6666666666667,436,84,18,4,73.51,1358,87,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
90,71,83,5893,20.140845070422536,1026,93,16,0,32.04,1732,302,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
79,51,482,24582,18.19607843137255,497,65,11,2,35.77,1119,191,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
59,41,350,14350,23.0,1006,3,8,6,19.97,1213,270,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
40,19,281,5339,70.78947368421052,698,39,16,0,37.37,1529,184,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
44,99,120,11880,20.272727272727273,529,44,5,9,77.02,2286,279,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
60,81,10,810,0.32098765432098764,23,98,6,4,45.81,133,107,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
23,40,433,17320,31.9,242,57,12,7,79.97,1484,208,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
49,60,286,17160,34.6,841,40,1,7,76.96,2100,24,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
62,75,149,11175,11.573333333333334,391,54,16,1,78.93,1160,292,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
72,49,455,22295,6.530612244897959,36,65,15,2,77.48,640,320,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88,95,33,3135,6.578947368421052,242,36,12,10,92.42,633,8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
72,6,488,2928,304.8333333333333,883,80,11,10,93.13,1906,77,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
69,98,295,28910,20.724489795918366,629,34,7,2,53.93,2084,53,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
48,76,448,34048,0.4342105263157895,684,21,15,10,94.49,181,148,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
84,40,477,19080,41.125,25,32,6,10,73.43,1930,285,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
91,24,123,2952,45.625,748,62,13,10,5.89,1261,166,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
65,57,273,15561,22.614035087719298,211,81,19,1,52.75,1292,3,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
41,70,145,10150,29.6,560,82,1,10,16.37,2340,268,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
42,96,441,42336,23.708333333333332,477,83,3,1,69.88,2325,49,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
45,64,99,6336,12.3125,119,58,0,9,66.53,891,103,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
40,32,317,10144,23.5625,518,9,2,2,6.58,916,162,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
67,41,120,4920,43.146341463414636,425,90,0,1,74.37,1861,92,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
95,12,13,156,68.33333333333333,923,49,2,4,33.46,860,40,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False
37,65,321,20865,33.44615384615385,987,95,6,7,24.17,2231,57,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
44,9,447,4023,49.666666666666664,690,75,2,9,49.96,559,112,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
83,14,79,1106,129.07142857142858,183,18,7,9,74.13,2141,334,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
75,75,102,7650,20.28,749,37,14,7,75.42,1625,104,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
92,32,36,1152,49.0,7,80,11,5,90.28,1795,227,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
79,92,17,1564,24.92391304347826,487,46,2,6,32.32,2305,12,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
63,73,388,28324,8.945205479452055,697,10,2,1,34.9,823,170,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
19,100,32,3200,11.69,976,8,12,8,69.6,1220,51,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
65,51,103,5253,2.450980392156863,973,27,2,10,30.55,142,17,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
58,61,166,10126,24.81967213114754,1001,54,0,5,52.3,1851,337,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
92,26,410,10660,14.923076923076923,713,36,13,6,2.03,569,181,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
21,31,35,1085,36.70967741935484,383,63,19,8,20.91,1444,306,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
82,29,386,11194,18.379310344827587,13,92,17,0,70.03,895,362,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
83,14,162,2268,83.28571428571429,1015,66,20,8,14.8,1339,173,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
93,22,463,10186,72.27272727272727,780,44,13,9,18.92,1668,78,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
55,53,13,689,22.77358490566038,539,97,19,7,71.79,1453,246,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
93,56,404,22624,16.553571428571427,812,93,17,5,56.28,1220,293,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
64,19,140,2660,28.94736842105263,193,88,5,3,57.48,738,188,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
73,29,135,3915,38.275862068965516,534,32,3,9,74.96,1208,98,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True
85,17,365,6205,123.82352941176471,860,67,10,8,94.27,2275,170,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
40,2,373,746,210.0,643,15,13,10,76.75,431,11,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
80,47,13,611,28.851063829787233,683,9,16,4,95.03,1643,287,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
71,42,217,9114,15.80952380952381,791,91,19,0,31.53,798,134,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
